id,codes,Counties,2011,2012,2013
C01,MSA,Mombasa,93.87,92.36,79.72
C02,KLE,Kwale,76.56,84.56,85.16
C03,KLF,Kilifi,73.97,84.61,80.89
C04,TRV,Tana River,60.07,64.72,57.13
C05,LMU,Lamu,84.92,90,83.19
C06,TTA,Taita Taveta,86.42,78.89,77.65
C07,GRS,Garissa,213.07,124.1,129.74
C08,WJR,Wajir,163.98,115.27,139.62
C09,MDR,Mandera,82.95,75.3,69.92
C10,MBT,Marsabit,89.43,96.7,92.68
C11,ILO,Isiolo,92.13,85.6,89.59
C12,MRU,Meru,74.31,78.89,59.25
C13,THN,Tharaka Nithi,83.51,101.69,82.83
C14,EBU,Embu,90.4,87.36,96.11
C15,KTI,Kitui,114.05,70.82,72.17
C16,MKS,Machakos,89.03,93.61,83.81
C17,MKN,Makueni,98,84.69,79.66
C18,NDR,Nyandarua,83.62,74.43,69.55
C19,NRI,Nyeri,95.35,60.05,77.18
C20,KRN,Kirinyaga,70.65,82.23,80.03
C21,MRG,Muranga,73.57,67.83,56.07
C22,KBU,Kiambu,85.56,82.79,67.56
C23,TKN,Turkana,53.25,78.42,66.49
C24,WPT,West Pokot,49.03,52.57,48.44
C25,SBR,Samburu,63.8,68.44,52.94
C26,TNZ,Trans Nzoia,48.48,61.53,54.97
C27,USG,Uasin Gishu,84.2,82.6,73.82
C28,EMT,Elgeyo-Marakwet,88.88,80.05,65.92
C29,NDI,Nandi,57.04,80.11,70.6
C30,BRG,Baringo,62.12,69.88,64.84
C31,LKP,Laikipia,92.13,82.81,84.3
C32,NKR,Nakuru,96.87,100.52,79.19
C33,NRK,Narok,54.79,69.12,57.04
C35,KJD,Kajiado,78.25,81.79,58.38
C35,KRC,Kericho,94.71,100.25,52.51
C36,BMT,Bomet,57.23,42.02,58.28
C37,KMG,Kakamega,77.36,84.28,85.9
C38,VGA,Vihiga,100.23,89.12,95.58
C39,BGM,Bungoma,72.05,63.3,60.5
C40,BSA,Busia,125.4,170.44,117.1
C41,SYA,Siaya,67.03,87.96,76.65
C42,KSM,Kisumu,47.19,80.7,74.19
C43,HBY,Homabay,100.21,88.58,80.48
C44,MGR,Migori,102.68,83.09,80.87
C45,KIS,Kisii,72.87,94.8,73.68
C46,NMR,Nyamira,70.11,65.45,97.11
C47,NBI,Nairobi,95.15,95.23,75.12
