id,cid,codes,counties,voters,no_pollstns,ic_gvn,ic_mp
1,C01,MSA,MOMBASA,580223,934,1,15
2,C02,KLE,KWALE,281041,612,2,7
3,C03,KLF,KILIFI,508068,988,1,7
4,C04,TRV,TANA-RIVER,118327,307,0,1
5,C05,LMU,LAMU,69776,167,0,2
6,C06,TTA,TAITA-TAVETA,155716,354,4,3
7,C07,GRS,GARISSA,163350,381,0,2
8,C08,WJR,WAJIR,162902,434,0,1
9,C09,MDR,MANDERA,175642,401,0,0
10,C10,MBT,MARSABIT,141708,384,0,0
11,C11,ILO,ISIOLO,75338,195,1,4
12,C12,MRU,MERU,702480,1473,2,35
13,C13,THN,THARAKA-NITHI,213154,625,2,4
14,C14,EBU,EMBU,309468,710,1,9
15,C15,KTI,KITUI,474512,1454,1,12
16,C16,MKS,MACHAKOS,620254,1332,1,13
17,C17,MKN,MAKUENI,423310,1060,0,12
18,C18,NDR,NYANDARUA,335634,654,2,12
19,C19,NRI,NYERI,456949,917,2,29
20,C20,KRN,KIRINYAGA,349836,659,2,10
21,C21,MRG,MURANGA,587126,1131,1,24
22,C22,KBU,KIAMBU,1180920,1963,2,34
23,C23,TKN,TURKANA,191435,644,0,2
24,C24,WPT,WEST POKOT,180232,712,0,1
25,C25,SBR,SAMBURU,82787,284,0,1
26,C26,TNZ,TRANS-NZOIA,339622,639,2,18
27,C27,USG,UASIN-GISHU,450055,868,1,14
28,C28,EMT,ELGEYO-MARAKWET,180664,529,2,10
29,C29,NDI,NANDI,346007,796,2,10
30,C30,BRG,BARINGO,232258,892,0,9
31,C31,LKP,LAIKIPIA,246487,531,5,8
32,C32,NKR,NAKURU,949618,1806,4,28
33,C33,NRK,NAROK,341730,750,0,9
34,C34,KJD,KAJIADO,411193,797,1,4
35,C35,KRC,KERICHO,375668,780,0,10
36,C36,BMT,BOMET,322012,728,0,18
37,C37,KMG,KAKAMEGA,743736,1497,1,25
38,C38,VGA,VIHIGA,272409,548,2,10
39,C39,BGM,BUNGOMA,559850,1186,1,30
40,C40,BSA,BUSIA,351048,760,1,12
41,C41,SYA,SIAYA,457953,916,3,8
42,C42,KSM,KISUMU,539210,1027,1,7
43,C43,HBY,HOMABAY,476875,1062,2,19
44,C44,MGR,MIGORI,388633,826,2,17
45,C45,KIS,KISII,546580,1126,1,17
46,C46,NMR,NYAMIRA,278853,553,2,10
47,C47,NBI,NAIROBI,2250853,3378,5,68
48,,,DIASPORA,4393,10,,
49,,,PRISONS,5528,103,,
,,,TOTAL_VOTES,19611423,,,
