id,cid,codes,Counties,Uhuru,Raila,Others,Margin
1,C01,MSA,MOMBASA,302081,475064,6125,-22.08
2,C02,KLE,KWALE,809141,1152262,7527,-17.43
3,C03,KLF,KILIFI,3019512,2135216,835,17.15
4,C04,TRV,TANA-RIVER,279677,157204,2359,27.88
5,C05,LMU,LAMU,1677844,971869,10309,26.54
6,C06,TTA,TAITA-TAVETA,2990274,2680434,11630,5.45
7,C07,GRS,GARISSA,1323101,1185243,18123,5.46
8,C08,WJR,WAJIR,199239,92698,3272,36.09
9,C09,MDR,MANDERA,1546167,1320225,22048,7.82
10,C10,MBT,MARSABIT,562949,710746,3625,-11.57
11,C11,ILO,ISIOLO,242584,165484,31,18.89
12,C12,MRU,MERU,1223796,1482440,7936,-9.53
13,C13,THN,THARAKA-NITHI,865941,1071645,4765,-10.59
14,C14,EBU,EMBU,7854285,4839958,115445,23.53
15,C15,KTI,KITUI,679370,1087190,7252,-22.99
16,C16,MKS,MACHAKOS,1921290,1188314,6552,23.52
17,C17,MKN,MAKUENI,2564569,2115256,21465,9.56
18,C18,NDR,NYANDARUA,124827,188163,3045,-20.04
19,C19,NRI,NYERI,2827710,2661433,23630,3.02
20,C20,KRN,KIRINYAGA,1152887,1420543,368,-10.4
21,C21,MRG,MURANGA,531373,463567,9010,6.75
22,C22,KBU,KIAMBU,212787,420911,4721,-32.6
23,C23,TKN,TURKANA,960709,1462330,10400,-20.61
24,C24,WPT,WEST POKOT,1971820,1822522,20304,3.91
25,C25,SBR,SAMBURU,443547,891325,0,-33.54
26,C26,TNZ,TRANS-NZOIA,145039,210610,2371,-18.31
27,C27,USG,UASIN-GISHU,3308124,4569843,2647,-16.01
28,C28,EMT,ELGEYO-MARAKWET,1773827,2078688,695,-7.91
29,C29,NDI,NANDI,415335,335788,2156,10.56
30,C30,BRG,BARINGO,795696,1255925,6992,-22.36
31,C31,LKP,LAIKIPIA,401306,292276,2127,15.67
32,C32,NKR,NAKURU,2125101,1477568,6690,17.94
33,C33,NRK,NAROK,4485741,2490431,17749,28.53
34,C34,KJD,KAJIADO,267070,21381,772,84.95
35,C35,KRC,KERICHO,306658,121015,0,43.41
36,C36,BMT,BOMET,122640,164676,2870,-14.49
37,C37,KMG,KAKAMEGA,4237756,4163447,19303,0.88
38,C38,VGA,VIHIGA,251813,740600,8638,-48.83
39,C39,BGM,BUNGOMA,1025232,1233654,452,-9.22
40,C40,BSA,BUSIA,394409,647744,1734,-24.27
41,C41,SYA,SIAYA,970488,754175,21091,12.39
42,C42,KSM,KISUMU,440726,692634,5441,-22.12
43,C43,HBY,HOMABAY,905083,634892,5542,17.48
44,C44,MGR,MIGORI,201839,267928,116,-14.06
45,C45,KIS,KISII,822544,730617,12324,5.87
46,C46,NMR,NYAMIRA,2178391,2270395,12071,-2.06
47,C47,NBI,NAIROBI,369561,329918,2957,5.64
